01	170893
02	136308
03	136072
04	136036
05	138142
06	135589
07	135590
08	135060
09	136142
10	140644
11	136067
12	138277
13	136020
14	137073
15	143971
16	136051
17	137024
18	136966
19	134444
20	142850
21	137444
22	136148
23	136206
24	134380
25	134279
26	132703
27	134514
28	135089
29	125114
30	124598
31	77661
